,actual,prediction
7205,0.5185,0.4876676177
7206,0.4753,0.4851574307
7207,0.5185,0.4874413724
7208,0.4753,0.4850125667
7209,0.4753,0.4889721986
7210,0.4691,0.4937612749
7211,0.4753,0.4936735428
7212,0.4383,0.4959398491
7213,0.5062,0.4856424418
7214,0.4506,0.4847165442
7215,0.5123,0.494977517
7216,0.5494,0.495338289
7217,0.5123,0.4953350837
7218,0.5494,0.4956896727
7219,0.4506,0.4886243563
7220,0.4506,0.4866336425
7221,0.4506,0.4896018215
7222,0.4321,0.488262143
7223,0.4753,0.4952745104
7224,0.4321,0.5221338579
7225,0.4753,0.4850231497
7226,0.4321,0.4900937833
7227,0.4753,0.485262893
7228,0.4321,0.4870050904
7229,0.4753,0.4850176551
7230,0.4321,0.4870592279
7231,0.4753,0.4850295268
7232,0.4321,0.5009036531
7233,0.4753,0.4849278435
7234,0.537,0.5014020867
7235,0.4074,0.4860063923
7236,0.4877,0.4849421858
7237,0.5062,0.4880089653
7238,0.5062,0.4887043117
7239,0.5062,0.4863749004
7240,0.5062,0.4853058846
7241,0.4383,0.5078713529
7242,0.4383,0.4946434747
7243,0.4383,0.4903578432
7244,0.4383,0.4895999705
7245,0.5494,0.5087564237
7246,0.6049,0.4941814998
7247,0.4321,0.500940863
7248,0.4321,0.4870011998
7249,0.5432,0.4940976861
7250,0.4877,0.4996626172
7251,0.4321,0.4900223012
7252,0.5432,0.5032963152
7253,0.5432,0.4901120233
7254,0.5432,0.4982076565
7255,0.3951,0.4960305092
7256,0.3951,0.4902105178
7257,0.4506,0.4867330415
7258,0.6049,0.4964898373
7259,0.5185,0.506354926
7260,0.5926,0.4850104786
7261,0.4321,0.4878946572
7262,0.5556,0.4908901872
7263,0.5432,0.5045606284
7264,0.4136,0.491865952
7265,0.5494,0.5087437339
7266,0.4506,0.5035975875
7267,0.5556,0.5369549767
7268,0.4691,0.4863696594
7269,0.4383,0.4892268428
7270,0.4383,0.4939376793
7271,0.4383,0.4921673662
7272,0.4383,0.4938866846
7273,0.4383,0.4951034612
7274,0.5247,0.4845868918
7275,0.4691,0.5091736469
7276,0.5494,0.4951192673
7277,0.5247,0.4925888732
7278,0.4506,0.5073879805
7279,0.5802,0.5145299533
7280,0.3951,0.5194805276
7281,0.5432,0.4846429905
7282,0.5432,0.4945125831
7283,0.5185,0.4927761541
7284,0.5432,0.5090850177
7285,0.5185,0.505109263
7286,0.5432,0.4835441166
7287,0.4321,0.4941380079
7288,0.4753,0.4846050207
7289,0.5926,0.4859207722
7290,0.4753,0.4846795385
7291,0.5926,0.4867629364
7292,0.5556,0.5236617764
7293,0.5926,0.4920935946
7294,0.5123,0.4944206528
7295,0.6049,0.5196963873
7296,0.6049,0.4892797446
7297,0.5494,0.486784267
7298,0.6049,0.489126637
7299,0.5494,0.4867587421
7300,0.6049,0.4872079977
7301,0.5494,0.4849276944
7302,0.6049,0.4910728795
7303,0.5494,0.4848290116
7304,0.3951,0.4913514218
7305,0.5494,0.4947287353
7306,0.4136,0.5025479952
7307,0.5432,0.4846074643
7308,0.5432,0.4952723834
7309,0.5432,0.4845862334
7310,0.5432,0.4937064918
7311,0.5432,0.484580223
7312,0.5432,0.4950416559
7313,0.537,0.496039955
7314,0.5123,0.4845109065
7315,0.5556,0.4982631041
7316,0.537,0.4845469573
7317,0.5556,0.4932848028
7318,0.537,0.484519732
7319,0.3951,0.4876745451
7320,0.4506,0.4849757061
7321,0.4877,0.4981015131
7322,0.5802,0.5020863792
7323,0.5123,0.4992933852
7324,0.5432,0.5142582309
7325,0.5556,0.5165174395
7326,0.5123,0.496717915
7327,0.5062,0.4954912971
7328,0.5123,0.4952092939
7329,0.5062,0.4840108696
7330,0.5123,0.4979912845
7331,0.4753,0.5014900314
7332,0.4753,0.4910500088
7333,0.6049,0.5068560678
7334,0.5185,0.4854454451
7335,0.4506,0.4884289979
7336,0.6049,0.4857822291
7337,0.5926,0.4981630409
7338,0.4877,0.4955976798
7339,0.4877,0.4849771327
7340,0.5123,0.5469251931
7341,0.5247,0.4844909562
7342,0.5247,0.4862022118
7343,0.5247,0.4845328673
7344,0.4506,0.4886922793
7345,0.5432,0.4842482687
7346,0.5556,0.4936012119
7347,0.5432,0.5073115125
7348,0.5556,0.4922991724
7349,0.5185,0.4872710111
7350,0.4383,0.4845689975
7351,0.5926,0.5164830103
7352,0.5185,0.4884480347
7353,0.4383,0.4845484356
7354,0.5926,0.5121659379
7355,0.5185,0.4985633326
7356,0.4383,0.486312895
7357,0.5926,0.5217383599
7358,0.5185,0.4966211739
7359,0.4383,0.4863287678
7360,0.5926,0.5060936717
7361,0.5185,0.4868099885
7362,0.4383,0.4844987968
7363,0.5926,0.534214938
7364,0.5185,0.4860860887
7365,0.4383,0.4845310423
7366,0.5926,0.5075109288
7367,0.5185,0.49768471
7368,0.4383,0.4838127804
7369,0.5926,0.5144470472
7370,0.5185,0.4872336437
7371,0.4383,0.4845244345
7372,0.5926,0.5054199983
7373,0.5185,0.4877405043
7374,0.4383,0.4849029461
7375,0.5926,0.5077515107
7376,0.5185,0.4966226725
7377,0.4383,0.4863262214
7378,0.5926,0.5046251686
7379,0.4321,0.4899651234
7380,0.4753,0.5241309815
7381,0.4506,0.4869477946
7382,0.5926,0.52117813
7383,0.4753,0.4978894501
7384,0.4753,0.4898956939
7385,0.537,0.4919614222
7386,0.5926,0.488576765
7387,0.5926,0.5013745932
7388,0.5926,0.4866117203
7389,0.5494,0.5195075004
7390,0.4753,0.4995843161
7391,0.4074,0.4851748928
7392,0.4074,0.4958471592
7393,0.4506,0.4865937274
7394,0.4753,0.4941135562
7395,0.5123,0.4968564589
7396,0.5123,0.4942210659
7397,0.5123,0.496038577
7398,0.5432,0.4954732072
7399,0.5185,0.5062040128
7400,0.5556,0.4990605762
7401,0.5556,0.5069880344
